Position;Percentage;7M;6M;9M;WING;PIVOT;FASTBREAK
CB;0%;-0.021189928;-0.021189928;-0.021189928;-0.021189928;-0.021189928;-0.021189928
CB;10%;0.1030854;0.43982315;0.30416632;0.04011774;0.14228582;0.06267989
CB;20%;0.28361928;0.9019902;0.69542;0.046092033;0.34911335;0.18429351
CB;30%;0.52659845;1.3176746;1.1235837;-0.004310846;0.58881223;0.32511663
CB;40%;0.827968;1.6585802;1.5424289;-0.10242224;0.84010524;0.4666292
CB;50%;1.169557;1.915877;1.8954848;-0.23229909;1.0728958;0.59415734
CB;60%;1.5183326;2.095634;2.1281142;-0.37495375;1.2537115;0.6989234
CB;70%;1.830331;2.2123337;2.2012758;-0.51283944;1.3534569;0.77811956
CB;80%;2.0592394;2.282928;2.1022315;-0.6331543;1.3550547;0.8335308
CB;90%;2.1675267;2.3227978;1.8481733;-0.72920835;1.2582257;0.86955506
CB;100%;2.1364994;2.343852;1.4813458;-0.7999306;1.0795686;0.891377
LB;0%;-0.029659986;-0.029659986;-0.029659986;-0.029659986;-0.029659986;-0.029659986
LB;10%;0.15663981;0.40725553;0.5226294;0.18827939;0.123544216;0.1664815
LB;20%;0.41461694;0.826481;1.035838;0.33747423;0.31761897;0.42296028
LB;30%;0.74455416;1.19003;1.4688598;0.39305818;0.5428513;0.73123205
LB;40%;1.1315458;1.4786702;1.8042681;0.34537446;0.7793654;1.0683911
LB;50%;1.5430061;1.6901014;2.044368;0.20271993;0.9989319;1.3979768
LB;60%;1.9311544;1.833699;2.2039084;-0.011016369;1.1700485;1.6755092
LB;70%;2.241243;1.9244298;2.3026104;-0.26289058;1.265215;1.8580124
LB;80%;2.423947;1.9778905;2.3595881;-0.5191655;1.2681484;1.9148479
LB;90%;2.4481604;2.007318;2.3903291;-0.7524638;1.1783364;1.8361192
LB;100%;2.309655;2.022471;2.4058495;-0.9458289;1.0111831;1.6354904
RB;0%;0.0196774;0.0196774;0.0196774;0.0196774;0.0196774;0.0196774
RB;10%;0.23281491;0.34790385;0.45072222;0.1744225;0.1286484;0.079491735
RB;20%;0.53219426;0.7646431;0.88689065;0.32206106;0.24366945;0.1636504
RB;30%;0.9209732;1.2495188;1.2821852;0.442039;0.35116422;0.25947928
RB;40%;1.3847278;1.7602043;1.60854;0.5154215;0.43581605;0.35461545
RB;50%;1.887532;2.2361364;1.8563659;0.5297648;0.4840771;0.43949956
RB;60%;2.3737235;2.6093006;2.030505;0.48256576;0.48770607;0.5086231
RB;70%;2.77673;2.819869;2.1441813;0.38197553;0.44606912;0.560456
RB;80%;3.0335917;2.8318548;2.213314;0.24449849;0.36632043;0.5964473
RB;90%;3.1009803;2.6431637;2.252562;0.0905689;0.2613932;0.6196767
RB;100%;2.9671474;2.286193;2.2733936;-0.060369253;0.14657426;0.6336491
RW;0%;-0.055606842;-0.055606842;-0.055606842;-0.055606842;-0.055606842;-0.055606842
RW;10%;0.13892055;0.077913046;0.15181136;0.31665206;0.2624576;0.14912319
RW;20%;0.41144204;0.25972378;0.35482788;0.72723484;0.6391492;0.3983009
RW;30%;0.76434946;0.48808575;0.52609205;1.1253357;1.044188;0.657547
RW;40%;1.184015;0.75060797;0.6391125;1.4736211;1.4317815;0.89780736
RW;50%;1.6373966;1.0232092;0.67492557;1.752331;1.7481627;1.100062
RW;60%;2.0738401;1.2725983;0.6272969;1.9579847;1.9435098;1.2563965
RW;70%;2.433244;1.462478;0.5044949;2.0986278;1.9847336;1.3680892
RW;80%;2.6592638;1.5620741;0.32694435;2.188085;1.8646414;1.442168
RW;90%;2.7137046;1.5542777;0.121675014;2.2411368;1.6039872;1.4879158
RW;100%;2.5870712;1.4404508;-0.084364414;2.270524;1.2456075;1.5142784
LW;0%;-0.11632824;-0.11632824;-0.11632824;-0.11632824;-0.11632824;-0.11632824
LW;10%;0.14933443;-0.03860092;0.013385057;0.26536417;-0.016671658;0.13018417
LW;20%;0.5169368;0.10182428;0.18129206;0.66446114;0.12162256;0.44149864
LW;30%;0.9867072;0.28236437;0.38087368;1.0357926;0.29889965;0.80155647
LW;40%;1.537231;0.47708225;0.59637976;1.3494518;0.5073614;1.178125
LW;50%;2.1219645;0.66269064;0.8037009;1.5926487;0.72966146;1.5258772
LW;60%;2.6728482;0.82275367;0.97426534;1.7669032;0.9401624;1.7946553
LW;70%;3.1120672;0.94920135;1.0813198;1.8827941;1.1092994;1.9411285
LW;80%;3.369695;1.0413957;1.1067684;1.9545536;1.210238;1.9401977
LW;90%;3.4018505;1.1037359;1.0461729;1.9960132;1.2258148;1.792026
LW;100%;3.2029183;1.1429582;0.91001654;2.0184;1.1533105;1.5219908
P;0%;-0.023807824;-0.023807824;-0.023807824;-0.023807824;-0.023807824;-0.023807824
P;10%;0.011614323;0.03296417;-0.022304118;-0.0110026;0.26565725;0.032182872
P;20%;0.06627846;0.1155867;-0.018329024;-0.007971764;0.6409946;0.15969652
P;30%;0.14467567;0.22700208;-0.012544453;-0.015243948;1.0879745;0.33769423
P;40%;0.24876398;0.36548024;-0.005833328;-0.031561017;1.5716658;0.5394611
P;50%;0.37597173;0.52280766;0.000920117;-0.05423391;2.038256;0.7391089
P;60%;0.51776797;0.6838973;0.007013023;-0.07986659;2.4236622;0.9167572
P;70%;0.65965396;0.82854587;0.012023389;-0.10518104;2.6675591;1.0610726
P;80%;0.78312856;0.9353493;0.015814364;-0.12766987;2.728766;1.1690488
P;90%;0.8694733;0.9868286;0.018469095;-0.14591306;2.596609;1.2438676
P;100%;0.9043613;0.97410303;0.020196378;-0.15954477;2.2939672;1.2920601
